,Affinity,Compromise,Efficieny,Groups,Power,Run
0,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,0
1,0.9255319148936169,0.1,1.1,Unaffiliated3,0.45,0
2,0.5212765957446809,0.1,1.1,Saada20,1.05,0
3,0.5212765957446809,0.1,1.1,Zawayia3,1.3,0
4,0.5212765957446809,0.1,1.1,Taureg2,1.8,0
5,0.7340425531914894,0.1,1.1,Marghara8,2.05,0
6,0.7340425531914894,0.1,1.1,al-Awaqir,2.3499999999999996,0
7,0.7446808510638298,0.1,1.1,Warfalla13,1.7,0
8,0.7446808510638298,0.1,1.1,Magharha,1.75,0
9,0.2047872340425532,0.1,1.1,Saada1	.Saada7.Saada6.Saada8.Saada2	.Saada4.Saada3.Saada5,9.240000000000002,0
10,0.48051292243655463,0.1,1.1,Zawayia1.Unaffiliated7.Unaffiliated9.Saada17.Unaffiliated14.Magariha.al-Mujabra.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Saada19.Zawayia2.Beni Hilal.Taureg1,28.985000000000003,0
11,0.8136412426806138,0.1,1.1,Zawaiya.Zawiya.Unaffiliated4.Warfalla1.Warfalla2.Warfalla3.Unaffiliated13.Matarfa2.Dababisa.Mtarfa1.Ramla.Unaffiliated17.Unaffiliated5.Warfalla14.Marghara11.Warfalla11.Kawafi.Marghara10.Marghara9.Warfalla12,38.555,0
12,0.31678991828460096,0.1,1.1,Saada12.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.Msika.al-Rahmana.al-Habun1	.Saada10.Saada13.Saada15.Hasawna.Masamir		.al-Qunashat.Masimir	.al-Marirat		.Saada9.Saada11.Saada14.Saada16,87.55999999999997,0
13,0.6237230154987885,0.1,1.1,el-Mahjoub.Zawayia6.Zawayia5.Zawayia7.Kawar.Zawayia4.Gaddafi.Warfalla8.Saada21.al-Jarsha.Taureg3.Warfalla6.Warfalla7.Marghara1.Zawayia9.Zawayia8.Taureg4.Marghara2.Zawayia10.Warfalla4.Sadat.Warfalla10.Warfalla15.Marghara6.Awlad Bu Saif.Maslata.Masrata.Marghara7.Tawajeer.Warfalla16.Warfalla17.al-Sawalih.Marghara5.Warfalla9.Zamoura.Unaffiliated12.Marghara4.Awlad Sulaiman.Marghara3.Jmamla.Kargala.Warfalla5.Unaffiliated16	.Taureg5.Sabayi.Zawayia11,167.03500000000003,0
14,0.045212765957446804,0.1,1.1,Unaffiliated2.Tebu,1.1,0
15,0.9862629171420028,0.1,1.1,Unaffiliated10.Unaffiliated11.Unaffiliated1.Unaffiliated6.Unaffiliated15	.Unaffiliated18,9.9,0
16,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,1
17,0.8798414559200048,0.1,1.2,Unaffiliated3.Unaffiliated10.Unaffiliated11.Unaffiliated1.Unaffiliated6.Unaffiliated15	.Unaffiliated18.Dababisa.Mtarfa1.Unaffiliated5.Kawafi.Ramla.Unaffiliated17.Unaffiliated4.Warfalla1.Zawaiya.Zawiya.Unaffiliated13.Matarfa2.Warfalla2.Warfalla3,39.9,1
18,0.3093597158000641,0.1,1.2,Unaffiliated7.Unaffiliated9.Saada10.Saada13.Saada15.Hasawna.Masamir		.al-Rahmana.al-Marirat		.al-Qunashat.Masimir	.Msika.Saada9.Saada11.Saada12.Saada14.Saada16.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.al-Habun1	.Saada1	.Saada7.Saada6.Saada8.Saada2	.Saada4.Saada3.Saada5,108.53999999999996,1
19,0.6172078321881976,0.1,1.2,Saada17.Unaffiliated14.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Magariha.al-Mujabra.Saada20.Zawayia3.Zawayia2.Taureg1.Kawar.Taureg2.Beni Hilal.Gaddafi.Saada19.Zawayia1.Saada21.Zawayia4.el-Mahjoub.Zamoura.Zawayia8.Taureg4.al-Jarsha.Taureg3.Warfalla6.Warfalla7.Warfalla8.Zawayia5.Zawayia6.Zawayia7.al-Sawalih.Marghara3.Sadat.Awlad Sulaiman.Kargala.Warfalla5.Jmamla.Sabayi.Marghara1.Zawayia9.Warfalla4.Zawayia10.Marghara2.Zawayia11.Unaffiliated16	.Taureg5.Marghara9.Warfalla12.Marghara10.Marghara11.Warfalla11.Warfalla14.Warfalla13.Magharha.Marghara4.Unaffiliated12.Marghara5.Warfalla9.Marghara6.Awlad Bu Saif.Maslata.Masrata.Marghara7.Tawajeer.Marghara8.al-Awaqir.Warfalla10.Warfalla15.Warfalla16.Warfalla17,238.8,1
20,0.045212765957446804,0.1,1.2,Unaffiliated2.Tebu,1.2,1
21,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,2
22,0.06382978723404255,0.1,1.25,Unaffiliated2,0.65,2
23,0.010638297872340425,0.1,1.25,Tebu,0.35,2
24,0.9893617021276596,0.1,1.25,Unaffiliated1,0.8,2
25,0.9574468085106382,0.1,1.25,Unaffiliated6,1.35,2
26,0.9893617021276596,0.1,1.25,Unaffiliated15	,1.65,2
27,0.9893617021276596,0.1,1.25,Unaffiliated18,2.25,2
28,0.9255319148936169,0.1,1.25,Unaffiliated3,0.45,2
29,0.9893617021276596,0.1,1.25,Unaffiliated10,1.5,2
30,1.0,0.1,1.25,Unaffiliated11,1.4500000000000002,2
31,0.8936170212765957,0.1,1.25,Zawaiya,1.5499999999999998,2
32,0.8936170212765957,0.1,1.25,Zawiya,2.1,2
