,Affinity,Compromise,Efficiency,Groups,Power,Run
0,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,0
1,0.6696631237380433,0.1,1.1,Zamoura.Marghara8.al-Awaqir.Warfalla13.Magharha.Marghara6.Awlad Bu Saif.Warfalla10.Warfalla15.Marghara7.Tawajeer.Warfalla16.Warfalla17.al-Sawalih.Marghara4.Unaffiliated12.Awlad Sulaiman.Marghara5.Warfalla9.Maslata.Masrata.Marghara3.Jmamla.Kargala.Warfalla5.Unaffiliated16	.Taureg5.Zawayia8.Taureg4,64.955,0
2,0.6701576559592043,0.1,1.1,Zamoura,1.0,0
3,0.7276044644698427,0.1,1.1,Marghara8,2.05,0
4,0.7276044644698427,0.1,1.1,al-Awaqir,2.3499999999999996,0
5,0.737178932554949,0.1,1.1,Warfalla13,1.7,0
6,0.737178932554949,0.1,1.1,Magharha,1.75,0
7,0.6893065921294171,0.1,1.1,Marghara6,2.05,0
8,0.6893065921294171,0.1,1.1,Awlad Bu Saif,2.3,0
9,0.7180299963847363,0.1,1.1,Warfalla10,1.7,0
10,0.7180299963847363,0.1,1.1,Warfalla15,1.7,0
11,0.7084555282996299,0.1,1.1,Marghara7,2.05,0
12,0.7084555282996299,0.1,1.1,Tawajeer,2.0,0
13,0.7084555282996299,0.1,1.1,Warfalla16,1.7,0
14,0.6988810602145235,0.1,1.1,Warfalla17,1.7,0
15,0.6318597836187788,0.1,1.1,al-Sawalih,1.5999999999999999,0
16,0.6510087197889917,0.1,1.1,Marghara4,2.05,0
17,0.660583187874098,0.1,1.1,Unaffiliated12,2.05,0
18,0.660583187874098,0.1,1.1,Awlad Sulaiman,2.7,0
19,0.6701576559592043,0.1,1.1,Marghara5,2.05,0
20,0.6701576559592043,0.1,1.1,Warfalla9,1.7,0
21,0.6797321240443108,0.1,1.1,Maslata,3.1999999999999997,0
22,0.6797321240443108,0.1,1.1,Masrata,3.25,0
23,0.6318597836187788,0.1,1.1,Marghara3,2.05,0
24,0.6318597836187788,0.1,1.1,Jmamla,3.75,0
25,0.6222853155336725,0.1,1.1,Kargala,2.3,0
