,Affinity,Compromise,Efficiency,Groups,Power,Run
0,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,0
1,0.3001628454480349,0.1,1.1,Saada14.Saada16.Saada15.Masamir		.Masimir	.al-Rahmana.al-Habun1	.al-Marirat		.al-Qunashat.Saada10.Saada13.Saada12.Al-Ubaidat1		.Ulum.Al-Ubaidat2		.Msika.Saada9.Saada11.Saada1	.Saada7.Saada6.Saada8,163.35000000000008,0
2,0.3361654244293374,0.1,1.1,Saada14,1.05,0
3,0.3361654244293374,0.1,1.1,Saada16,1.05,0
4,0.3457398925144437,0.1,1.1,Saada15,1.05,0
5,0.3361654244293374,0.1,1.1,Masamir		,3.35,0
6,0.3457398925144437,0.1,1.1,Masimir	,3.25,0
7,0.3361654244293374,0.1,1.1,al-Rahmana,4.15,0
8,0.32659095634423096,0.1,1.1,al-Habun1	,4.65,0
9,0.3553143605995501,0.1,1.1,al-Marirat		,4.6,0
10,0.3553143605995501,0.1,1.1,al-Qunashat,4.55,0
11,0.3648888286846565,0.1,1.1,Saada10,1.05,0
12,0.3553143605995501,0.1,1.1,Saada13,1.05,0
13,0.2595696797484863,0.1,1.1,Saada12,1.05,0
14,0.2882930840038055,0.1,1.1,Al-Ubaidat1		,99.0,0
15,0.29786755208891186,0.1,1.1,Ulum,4.3,0
16,0.3074420201740182,0.1,1.1,Al-Ubaidat2		,4.949999999999999,0
17,0.32659095634423096,0.1,1.1,Msika,3.1,0
18,0.3361654244293374,0.1,1.1,Saada9,1.05,0
19,0.3361654244293374,0.1,1.1,Saada11,1.05,0
20,0.2499952116633799,0.1,1.1,Saada1	,1.05,0
21,0.2499952116633799,0.1,1.1,Saada7,1.05,0
22,0.2116973393229544,0.1,1.1,Saada6,1.05,0
23,0.24042074357827356,0.1,1.1,Saada8,1.05,0
24,"
","
","
","
","
",0
25,0.551640922531111,0.1,1.1,Marghara1.Zawayia9.Warfalla4.Zawayia10.Marghara2.Zawayia11.Sadat.Sabayi.Marghara3.Jmamla.Kargala.Warfalla5.Unaffiliated16	.Taureg5.Zawayia8.Taureg4.Zawayia1.Saada17.Unaffiliated14.Magariha.al-Mujabra.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Saada19.Zawayia2.Beni Hilal.Taureg1.Saada20.Saada21.Zawayia3.Taureg2.Kawar.Zawayia4.Gaddafi.Warfalla8.el-Mahjoub.Zawayia6.Zawayia5.Zawayia7.al-Jarsha.Taureg3.Warfalla6.Warfalla7,94.65499999999997,0
26,0.5812822740461874,0.1,1.1,Marghara1,2.05,0
27,0.5812822740461874,0.1,1.1,Zawayia9,1.9,0
28,0.5908567421312937,0.1,1.1,Warfalla4,1.7,0
29,0.5908567421312937,0.1,1.1,Zawayia10,2.0,0
30,0.6004312102164001,0.1,1.1,Marghara2,2.05,0
31,0.6004312102164001,0.1,1.1,Zawayia11,2.0999999999999996,0
32,0.5908567421312937,0.1,1.1,Sadat,4.25,0
33,0.6004312102164001,0.1,1.1,Sabayi,3.25,0
34,0.6195801463866129,0.1,1.1,Marghara3,2.05,0
35,0.6195801463866129,0.1,1.1,Jmamla,3.75,0
36,0.6100056783015064,0.1,1.1,Kargala,2.3,0
37,0.6100056783015064,0.1,1.1,Warfalla5,1.7,0
38,0.5908567421312937,0.1,1.1,Unaffiliated16	,1.05,0
39,0.5812822740461874,0.1,1.1,Taureg5,1.9,0
40,0.571707805961081,0.1,1.1,Zawayia8,1.8,0
