,Affinity,Compromise,Efficiency,Groups,Power,Run
0,NEW RUN,NEW RUN,NEW RUN,NEW RUN,NEW RUN,0
1,0.2047872340425532,0.1,1.1,Saada1	.Saada7.Saada6.Saada8.Saada2	.Saada4.Saada3.Saada5,9.240000000000002,0
2,0.2406914893617021,0.1,1.1,Saada1	,1.05,0
3,0.2406914893617021,0.1,1.1,Saada7,1.05,0
4,0.2023936170212766,0.1,1.1,Saada6,1.05,0
5,0.23111702127659575,0.1,1.1,Saada8,1.05,0
6,0.19281914893617022,0.1,1.1,Saada2	,1.05,0
7,0.19281914893617022,0.1,1.1,Saada4,1.05,0
8,0.15452127659574466,0.1,1.1,Saada3,1.05,0
9,0.18324468085106382,0.1,1.1,Saada5,1.05,0
10,"
","
","
","
","
",0
11,0.48051292243655463,0.1,1.1,Zawayia1.Unaffiliated7.Unaffiliated9.Saada17.Unaffiliated14.Magariha.al-Mujabra.Saada18.Unaffiliated8.Beni Salim.Beni Salim2.Saada19.Zawayia2.Beni Hilal.Taureg1,28.985000000000003,0
12,0.4980449180762657,0.1,1.1,Zawayia1,1.05,0
13,0.431023641480521,0.1,1.1,Unaffiliated7,1.15,0
14,0.44059810956562734,0.1,1.1,Unaffiliated9,1.3,0
15,0.46932151382094656,0.1,1.1,Saada17,1.05,0
16,0.46932151382094656,0.1,1.1,Unaffiliated14,1.0,0
17,0.46932151382094656,0.1,1.1,Magariha,2.85,0
18,0.45017257765073376,0.1,1.1,al-Mujabra,2.25,0
19,0.47889598190605287,0.1,1.1,Saada18,1.05,0
20,0.47889598190605287,0.1,1.1,Unaffiliated8,1.25,0
21,0.47889598190605287,0.1,1.1,Beni Salim,3.05,0
22,0.48847044999115924,0.1,1.1,Beni Salim2,3.05,0
23,0.507619386161372,0.1,1.1,Saada19,1.05,0
24,0.507619386161372,0.1,1.1,Zawayia2,1.2,0
25,0.507619386161372,0.1,1.1,Beni Hilal,3.25,0
26,0.507619386161372,0.1,1.1,Taureg1,1.7999999999999998,0
27,"
","
","
","
","
",0
28,0.8136412426806138,0.1,1.1,Zawaiya.Zawiya.Unaffiliated4.Warfalla1.Warfalla2.Warfalla3.Unaffiliated13.Matarfa2.Dababisa.Mtarfa1.Ramla.Unaffiliated17.Unaffiliated5.Warfalla14.Marghara11.Warfalla11.Kawafi.Marghara10.Marghara9.Warfalla12,38.555,0
29,0.8855658488663061,0.1,1.1,Zawaiya,1.5499999999999998,0
